"file","line","type","where","condition","code"
"lib/active-hours.js","3","IfStatement","validate","","if (typeof value !== 'number' && !(typeof value === 'string' && /^\d+(?:\.\d+)?$/.test(value))) { return { error: 'Enter active hours as a number, using 0 if you were not woken.', code: 'active_hours_number' }; }"
"lib/active-hours.js","3","LogicalExpression","validate","(typeof value !== 'number' && !(typeof value === 'string' && /^\d+(?:\.\d+)?$/.test(value)))","typeof value !== 'number' && !(typeof value === 'string' && /^\d+(?:\.\d+)?$/.test(value))"
"lib/active-hours.js","3","LogicalExpression","validate","(typeof value !== 'number' && !(typeof value === 'string' && /^\d+(?:\.\d+)?$/.test(value)))","typeof value === 'string' && /^\d+(?:\.\d+)?$/.test(value)"
"lib/active-hours.js","4","ReturnStatement","validate","(typeof value !== 'number' && !(typeof value === 'string' && /^\d+(?:\.\d+)?$/.test(value)))","return { error: 'Enter active hours as a number, using 0 if you were not woken.', code: 'active_hours_number' };"
"lib/active-hours.js","7","IfStatement","validate","","if (!Number.isFinite(hours) || hours < 0 || hours > maximum) { return { error: `Active hours must be between 0 and the ${maximum}-hour shift.`, code: 'active_hours_range' }; }"
"lib/active-hours.js","7","LogicalExpression","validate","(!Number.isFinite(hours) || hours < 0 || hours > maximum)","!Number.isFinite(hours) || hours < 0 || hours > maximum"
"lib/active-hours.js","7","LogicalExpression","validate","(!Number.isFinite(hours) || hours < 0 || hours > maximum)","!Number.isFinite(hours) || hours < 0"
"lib/active-hours.js","8","ReturnStatement","validate","(!Number.isFinite(hours) || hours < 0 || hours > maximum)","return { error: `Active hours must be between 0 and the ${maximum}-hour shift.`, code: 'active_hours_range' };"
"lib/active-hours.js","10","IfStatement","validate","","if (!Number.isInteger(hours * 4)) return { error: 'Enter active hours in 15-minute steps (for example 2, 2.25 or 2.5). Your entry has not been rounded or saved.', code: 'active_hours_increment' };"
"lib/active-hours.js","10","ReturnStatement","validate","(!Number.isInteger(hours * 4))","return { error: 'Enter active hours in 15-minute steps (for example 2, 2.25 or 2.5). Your entry has not been rounded or saved.', code: 'active_hours_increment' };"
"lib/active-hours.js","11","ReturnStatement","validate","","return { hours };"
"lib/admin-verification.js","10","LogicalExpression","mountVerification > callback","","v ?? ''"
"lib/admin-verification.js","18","ReturnStatement","mountVerification > rawDocs","","return db.prepare(`SELECT * FROM ${p.role==='worker'?'worker_docs':'participant_docs'} WHERE ${p.role==='worker'?'worker_id':'participant_id'}=? ORDER BY id DESC`).all(p.id);"
"lib/admin-verification.js","18","ConditionalExpression","mountVerification > rawDocs","","p.role==='worker'?'worker_docs':'participant_docs'"
"lib/admin-verification.js","18","ConditionalExpression","mountVerification > rawDocs","","p.role==='worker'?'worker_id':'participant_id'"
"lib/admin-verification.js","22","ConditionalExpression","mountVerification > evidenceRows","","p.role==='worker'?new Set(db.prepare('SELECT doc_id FROM module_completions WHERE worker_id=? AND passed=1 AND doc_id IS NOT NULL').all(p.id).map(x=>x.doc_id)):new Set()"
"lib/admin-verification.js","23","ReturnStatement","mountVerification > evidenceRows","","return rawDocs(p).map(d=>{ const out=(p.role==='worker'?c.docOut:c.pdocOut)(d),cat=(p.role==='worker'?c.docMap[d.doc_type]:c.pdocMap[d.form_key])||{}; return {...out,evidence_origin:!d.file_path&&issued.has(d.id)?'platform-module':d.file_path?'uploaded-file':d.accepted_at?'recorded-agreement':'details-only',source_url:d.file_path?`/api/${p.role==='worker'?'documents':'participant-documents'}/${d.id}/file`:null,purpose:[cat.points?`${cat.points} identity points`:null,cat.primary?'Primary identity':null,cat.rtw?'Work rights':null,cat.requires].filter(Boolean).join(' · ')}; });"
"lib/admin-verification.js","24","ConditionalExpression","mountVerification > evidenceRows > callback","","p.role==='worker'?c.docOut:c.pdocOut"
"lib/admin-verification.js","24","LogicalExpression","mountVerification > evidenceRows > callback","","(p.role==='worker'?c.docMap[d.doc_type]:c.pdocMap[d.form_key])||{}"
"lib/admin-verification.js","24","ConditionalExpression","mountVerification > evidenceRows > callback","","p.role==='worker'?c.docMap[d.doc_type]:c.pdocMap[d.form_key]"
"lib/admin-verification.js","25","ReturnStatement","mountVerification > evidenceRows > callback","","return {...out,evidence_origin:!d.file_path&&issued.has(d.id)?'platform-module':d.file_path?'uploaded-file':d.accepted_at?'recorded-agreement':'details-only',source_url:d.file_path?`/api/${p.role==='worker'?'documents':'participant-documents'}/${d.id}/file`:null,purpose:[cat.points?`${cat.points} identity points`:null,cat.primary?'Primary identity':null,cat.rtw?'Work rights':null,cat.requires].filter(Boolean).join(' · ')};"
"lib/admin-verification.js","25","ConditionalExpression","mountVerification > evidenceRows > callback","","!d.file_path&&issued.has(d.id)?'platform-module':d.file_path?'uploaded-file':d.accepted_at?'recorded-agreement':'details-only'"
"lib/admin-verification.js","25","LogicalExpression","mountVerification > evidenceRows > callback","(!d.file_path&&issued.has(d.id))","!d.file_path&&issued.has(d.id)"
"lib/admin-verification.js","25","ConditionalExpression","mountVerification > evidenceRows > callback","NOT (!d.file_path&&issued.has(d.id))","d.file_path?'uploaded-file':d.accepted_at?'recorded-agreement':'details-only'"
"lib/admin-verification.js","25","ConditionalExpression","mountVerification > evidenceRows > callback","NOT (!d.file_path&&issued.has(d.id)) AND NOT (d.file_path)","d.accepted_at?'recorded-agreement':'details-only'"
"lib/admin-verification.js","25","ConditionalExpression","mountVerification > evidenceRows > callback","","d.file_path?`/api/${p.role==='worker'?'documents':'participant-documents'}/${d.id}/file`:null"
"lib/admin-verification.js","25","ConditionalExpression","mountVerification > evidenceRows > callback","(d.file_path)","p.role==='worker'?'documents':'participant-documents'"
"lib/admin-verification.js","25","ConditionalExpression","mountVerification > evidenceRows > callback","","cat.points?`${cat.points} identity points`:null"
"lib/admin-verification.js","25","ConditionalExpression","mountVerification > evidenceRows > callback","","cat.primary?'Primary identity':null"
"lib/admin-verification.js","25","ConditionalExpression","mountVerification > evidenceRows > callback","","cat.rtw?'Work rights':null"
"lib/admin-verification.js","27","ReturnStatement","mountVerification > documentRows","","return evidenceRows(p).filter(d=>d.evidence_origin!=='platform-module');"
"lib/admin-verification.js","29","ConditionalExpression","mountVerification > token","","p.role==='worker'?db.prepare('SELECT * FROM worker_profiles WHERE user_id=?').get(p.id):null"
"lib/admin-verification.js","30","ConditionalExpression","mountVerification > token","","p.role==='participant'?db.prepare('SELECT * FROM support_plans WHERE participant_id=? AND current=1').all(p.id):[]"
"lib/admin-verification.js","37","ReturnStatement","mountVerification > token","","return crypto.createHash('sha256').update(JSON.stringify(fields)).digest('hex');"
"lib/admin-verification.js","41","LogicalExpression","mountVerification > summary > callback","","!d.verified_at&&!d.accepted_at&&(d.has_file||d.accepted_at)"
"lib/admin-verification.js","41","LogicalExpression","mountVerification > summary > callback","","!d.verified_at&&!d.accepted_at"
"lib/admin-verification.js","41","LogicalExpression","mountVerification > summary > callback","","d.has_file||d.accepted_at"
"lib/admin-verification.js","41","LogicalExpression","mountVerification > summary","","db.prepare('SELECT v.*,u.name AS owner_name FROM verification_cases v LEFT JOIN users u ON u.id=v.owner_id WHERE v.user_id=?').get(p.id)||{user_id:p.id,owner_id:null,due_date:'',note:''}"
"lib/admin-verification.js","42","ConditionalExpression","mountVerification > summary","","worker?db.prepare('SELECT visible,photo,self_paused,platform_block FROM worker_profiles WHERE user_id=?').get(p.id)||{}:null"
"lib/admin-verification.js","42","LogicalExpression","mountVerification > summary","(worker)","db.prepare('SELECT visible,photo,self_paused,platform_block FROM worker_profiles WHERE user_id=?').get(p.id)||{}"
"lib/admin-verification.js","43","ConditionalExpression","mountVerification > summary","","worker?c.platformStatus(p.id):null"
"lib/admin-verification.js","43","ConditionalExpression","mountVerification > summary","","worker?workflow.activationMissing(p.id):c.firstBookingBlockers(p.id,false)"
"lib/admin-verification.js","44","ConditionalExpression","mountVerification > summary","","worker?workflow.workerBlockers(p.id):missing.map(x=>({key:x.key,label:x.what,why:x.why,yours:x.yours,where:x.where}))"
"lib/admin-verification.js","45","ConditionalExpression","mountVerification > summary","","worker?platform.ok&&!missing.length&&!!profile.photo&&!profile.self_paused&&!!p.verified:!missing.length"
"lib/admin-verification.js","45","LogicalExpression","mountVerification > summary","(worker)","platform.ok&&!missing.length&&!!profile.photo&&!profile.self_paused&&!!p.verified"
"lib/admin-verification.js","45","LogicalExpression","mountVerification > summary","(worker)","platform.ok&&!missing.length&&!!profile.photo&&!profile.self_paused"
"lib/admin-verification.js","45","LogicalExpression","mountVerification > summary","(worker)","platform.ok&&!missing.length&&!!profile.photo"
"lib/admin-verification.js","45","LogicalExpression","mountVerification > summary","(worker)","platform.ok&&!missing.length"
"lib/admin-verification.js","46","LogicalExpression","mountVerification > summary","","worker&&(platform.block?.on||profile.platform_block||['suspended','revoked','excluded'].includes(platform.screening?.status)||(platform.registers||[]).some(x=>x.result==='banned'))"
"lib/admin-verification.js","46","LogicalExpression","mountVerification > summary","","platform.block?.on||profile.platform_block||['suspended','revoked','excluded'].includes(platform.screening?.status)||(platform.registers||[]).some(x=>x.result==='banned')"
"lib/admin-verification.js","46","LogicalExpression","mountVerification > summary","","platform.block?.on||profile.platform_block||['suspended','revoked','excluded'].includes(platform.screening?.status)"
"lib/admin-verification.js","46","LogicalExpression","mountVerification > summary","","platform.block?.on||profile.platform_block"
"lib/admin-verification.js","46","LogicalExpression","mountVerification > summary","","platform.registers||[]"
"lib/admin-verification.js","47","ConditionalExpression","mountVerification > summary","","worker?null:c.confirmedPlan(p.id)"
"lib/admin-verification.js","47","ConditionalExpression","mountVerification > summary","","worker?null:c.planReviewState(p.id)"
"lib/admin-verification.js","48","LogicalExpression","mountVerification > summary","","plan&&(planState.awaiting_first_review||planState.changed_since_review||automation.planChanges(p)?.changes.length)"
"lib/admin-verification.js","48","LogicalExpression","mountVerification > summary","","planState.awaiting_first_review||planState.changed_since_review||automation.planChanges(p)?.changes.length"
"lib/admin-verification.js","48","LogicalExpression","mountVerification > summary","","planState.awaiting_first_review||planState.changed_since_review"
"lib/admin-verification.js","49","ConditionalExpression","mountVerification > summary","","safety?'blocked':worker&&profile.visible&&platform.ok?'active':ready?'ready':pending.length||planReview||tasks.some(t=>t.yours===false&&t.key!=='activation')?'review':'waiting'"
"lib/admin-verification.js","49","ConditionalExpression","mountVerification > summary","NOT (safety)","worker&&profile.visible&&platform.ok?'active':ready?'ready':pending.length||planReview||tasks.some(t=>t.yours===false&&t.key!=='activation')?'review':'waiting'"
